Id,Category
1,gettonare+V
2,incidentale+A
3,involtare+V
4,lievo+N
5,comunistizzare+V
6,vidimeere+V
7,imbrodare+V
8,strillare+V
9,cifrare+V
10,compassare+V
11,cuere+V
12,snobbare+V
13,tessere+V
14,coagulare+V
15,somatizzare+V
16,impoverimento+N
17,smungeere+V
18,abbuffare+V
19,meravigliare+V
20,risucchiare+V
21,sesquipedale+A
22,timido+A
23,nauseare+V
24,ingozzare+V
25,stimare+V
26,relazione+V
27,sorridere+V
28,illuminare+V
29,conciteere+V
30,dissecare+V
31,deregolamentare+V
32,elettrizzare+V
33,ripioire+V
34,ottimizzare+V
35,accordare+V
36,barrare+V
37,arguire+V
38,sfuggiere+V
39,ritorcere+V
40,rifiatare+V
41,sgobbare+V
42,adoprare+V
43,abbiglieere+V
44,complimentare+V
45,plurale+A
46,soprasseere+V
47,affermare+V
48,frusciare+V
49,amareggeere+V
50,autoalimentare+V
51,escuteere+V
52,secco+A
53,talentare+V
54,derapare+V
55,distinguere+V
56,frizzare+V
57,sincopassessere+V
58,tentacoleere+V
59,scomponibile+A
60,microbiologo+N
61,disinnesteere+V
62,foracchieere+V
63,fertilizzare+V
64,smaniare+V
65,infischiare+V
66,semicircolare+V
67,cotorre+V
68,fioriere+V
69,collocabile+A
70,decantare+V
71,tradizionalismo+N
72,fornitore+A
73,acclimatare+V
74,infangare+V
75,sterilizzeere+V
76,evoluire+V
77,inserere+V
78,sintonizzare+V
79,imperre+V
80,professeere+V
81,svantaggiare+V
82,appalteere+V
83,spaccare+V
84,astrologo+N
85,biascicare+A
86,scapitare+V
87,rivoltare+V
88,sgomentare+V
89,disattrezzare+V
90,nomare+V
91,viado+N
92,mangiucchiare+V
93,guaire+V
94,abbuffare+V
95,vagare+V
96,ricomunicassessere+V
97,attraccare+V
98,delineare+V
99,antilicenziamento+N
100,dittatorio+A
101,anticostituzionale+A
102,standardizzare+V
103,sintonizzare+V
104,sincerare+V
105,girovagare+V
106,sincereere+V
107,decadere+A
108,ammorbare+V
109,bulinare+V
110,arricciare+V
111,aiola+N
112,ricomunicare+V
113,cuocere+V
114,molrre+V
115,sintonizzeere+V
116,preavvisare+V
117,sessantotto+N
118,elaboratore+A
119,affumicare+V
120,mugghiare+V
121,lasciare+V
122,eccedeere+V
123,torturatore+N
124,palesare+V
125,ingesseere+V
126,posizionare+V
127,premetteere+V
128,naturalistico+A
129,prevarere+V
130,inviperiere+V
131,rimontare+V
132,putrefare+V
133,denoteere+V
134,furtivo+A
135,inguainare+V
136,bisbore+V
137,ghermiere+V
138,sillogizzare+V
139,sgelare+V
140,sceveere+V
141,commettrre+V
142,lerrre+V
143,svolteere+V
144,rimembrare+V
145,corallino+A
146,appoprassedere+V
147,scoleere+V
148,invidieere+V
149,defluire+V
150,preordinare+V
151,citofonare+V
152,annualizzare+V
153,dileguare+V
154,pupillo+N
155,ammaestrare+V
156,superbollo+N
157,mugolare+V
158,rimpatssere+V
159,riallungare+V
160,appunteere+V
161,complimentoso+A
162,tergiverseere+V
163,scarnificare+V
164,confluiere+V
165,serbare+V
166,immergeere+V
167,avvalere+V
168,coreografeere+V
169,ammutolire+V
170,sovrapproduzione+N
171,cruscheggiare+V
172,controfirmare+V
173,enfatizzare+V
174,stipuere+V
175,interpellare+V
176,vigileere+V
177,prolurre+V
178,lessico+N
179,incatramare+V
180,molrre+V
181,fratturare+V
182,caramelloso+A
183,insileere+V
184,bahiano+A
185,risconteere+V
186,sorprenere+V
187,chiameere+V
188,crepuscoleere+V
189,impermalire+V
190,frammenteere+V
191,appartenente+N
192,spieere+V
193,ritagliassessere+V
194,scagionare+V
195,autoconvincere+V
196,emulare+V
197,incendiare+V
198,strapagare+V
199,affascinare+V
200,debilitare+V
201,distinguere+V
202,sgobbare+V
203,risanare+V
204,insalubre+A
205,intasare+V
206,accoccoleere+V
207,espungere+V
208,pispiglieere+V
209,disarmonico+A
210,verseggiare+V
211,ingrazieere+V
212,srotolare+V
213,normalizzeere+V
214,decontestualizzare+V
215,rivendere+V
216,attristeere+V
217,appesantire+V
218,abbottonare+V
219,fiocirre+V
220,vitalismo+N
221,frazionabile+A
222,impermeabilizzare+V
223,specificare+V
224,reinserire+V
225,circospetto+A
226,sventagliare+V
227,assicurare+A
228,troncare+V
229,infiammare+V
230,dissecare+V
231,desinare+V
232,speronare+V
233,inscatolare+V
234,sfrangeere+V
235,assaporare+V
236,stereotipizzeere+V
237,rubacchiare+V
238,allargare+V
239,inquadrare+V
240,soggiornare+V
241,spaginare+V
242,avvagliere+V
243,discacciare+V
244,debilitare+V
245,spoetizzare+V
246,rincantucciare+V
247,mummificare+V
248,intingrre+V
249,insinuare+V
250,erigere+V
251,piovigginare+V
252,impalcare+V
253,intaseere+V
254,stordire+V
255,ortodossio+N
256,destrutturare+V
257,magnetizzare+V
258,imbandierare+V
259,compasseere+V
260,contrapporre+V
261,incapricciare+V
262,chioccolare+V
263,bibliofilo+A
264,precludere+V
265,ricuocere+V
266,comunicare+V
267,juventino+N
268,raffreneere+V
269,chiavare+V
270,pugnalare+V
271,crocidare+V
272,invaserrre+V
273,misturo+N
274,imbeveere+V
275,foracchiare+V
276,recidire+V
277,saltare+V
278,leggicchiare+A
279,denotassessere+V
280,entreere+V
281,completeere+V
282,solubilizzare+V
283,decretazione+N
284,promuoveere+V
285,rintontiere+V
286,rischiarassessere+V
287,autopromuovere+V
288,curvatura+N
289,accorare+V
290,sconore+V
291,oltrepassare+V
292,riflettere+V
293,bastone+N
294,stellare+V
295,orchestreere+V
296,campiorre+V
297,amnistieere+V
298,intrigare+V
299,rieducare+V
300,sbiancare+V
301,diurno+A
302,addiere+V
303,riprometteere+V
304,comprovare+V
305,autorizzare+A
306,remeere+V
307,roccione+N
308,strappare+V
309,rincareere+V
310,rifrangeere+V
311,intossicare+V
312,vaticinare+V
313,alluminare+V
314,snebbieere+V
315,autogovernare+V
316,imbattere+V
317,simulare+V
318,indottrirre+V
319,co-presiedeere+V
320,bolleere+V
321,assommare+V
322,seducrre+V
323,stimmatizzare+V
324,districare+V
325,ridiere+V
326,strabuzzeere+V
327,noto+N
328,dissanguare+V
329,coalizzare+V
330,svieere+V
331,tossicchiare+V
332,seghettare+V
333,gargarizzeere+V
334,idore+A
335,stiracchieere+V
336,intere+V
337,scrosciare+V
338,abboccare+V
339,reintegrare+V
340,tentare+A
341,rimarcare+V
342,srotolare+V
343,corrire+V
344,canterellare+V
345,beccare+V
346,saettare+V
347,standardizzare+V
348,cataratto+A
349,riattizzare+V
350,marcare+V
351,rivelare+V
352,burocratizzare+V
353,rifiatare+V
354,gargarizzare+V
355,sproneere+V
356,disseminare+V
357,decomprimrre+V
358,riscontare+V
359,sciroppare+V
360,sostassessere+V
361,disinfettare+V
362,difendere+V
363,relazionare+V
364,pudibondo+A
365,affrontare+V
366,dichiarare+V
367,riorientare+V
368,ristoro+N
369,beneficiario+A
370,aggrinzare+A
371,sottovalutazione+N
372,collimare+V
373,benefiere+V
374,disidratare+V
375,fiscalizzerrre+V
376,contaminare+V
377,indulgrre+V
378,compendiare+V
379,tamponare+V
380,contemperare+V
381,costeggiare+V
382,naufragare+V
